patrol	contact	observation time	timezone	observation date	latitude deg	latitude min	latitude hemisphere	longitude deg	longitude min	longitude hemisphere	type	miles range	course	speed	method	elevation angle	Probable mission	Remarks
4	1	0622	-8	1944-07-04	28	54.3	S	112	57.8	E	PBY	12	000		SD	2		
4	2	0931	-8	1944-07-06	21	42	S	114	16	E	OS2U	7	090		SD	2		
4	3	1321	-8	1944-07-10	6	39.2	S	116	34.2	E	Unk. 2-Eng. Land Bomber	6	024		SD			
4	4	1517	-8	1944-07-10	6	10.3	S	116	48	E	Unk.	10	355		Per			
4	5	0627	-8	1944-07-12	1	29	N	119	31.2	E	Pete	9	000		Lookout	3		
4	6	0740	-8	1944-07-12	1	31	N	119	27.9	E	2 Float Type	11	000		Lookout	3		
4	7	0959	-8	1944-07-12	1	33	N	119	27	E	Rufe	10	270		Per			
4	8	0738	-8	1944-07-16	12	24.8	S	119	22	E	Unk.	24			SD			
4	9	1232	-8	1944-07-17	11	51	N	117	30	E	Unk.	24			SD			
4	10	1426	-8	1944-07-20	13	44	N	119	52	E	Unk.	23	150		SD			
4	11	0602	-8	1944-07-24	1	50.4	N	125	12.5	E	Unk.	14	166		SD			
4	12	1001	-8	1944-07-24	1	40.5	N	125	48.4	E	Unk.	12	166		SD			
4	13	1358	-8	1944-07-25	1	41	N	126	32.3	E	Unk.	9	150		Per	2		
4	14	0605	-8	1944-07-26	2	48	S	126	0	E	Pete	11	270		Lookout	2		
4	15	0742	-8	1944-07-26	2	52	S	125	55	E	Unk. Float Type	12	270		SD			
4	16	1007	-8	1944-07-26	2	50.2	S	125	29.3	E	Unk.	16	270		SD			
4	17	1030	-8	1944-07-26	2	50.4	S	125	23.3	E	Unk.	17	270		SD			
4	18	1335	-8	1944-07-26	3	10.1	S	125	23.2	E	Unk.	16	180		SD			
4	19	1335	-8	1944-07-26	3	10.1	S	125	23.2	E	Unk.	10	180		SD			
4	20	1207	-8	1944-07-27	6	58	S	126	18.2	E	Unk.	11	097		SD			
4	21	0724	-8	1944-07-28	9	38	S	128	10.4	E	Unk.	13	154		SD			
4	22	1227	-8	1944-07-28	10	20.8	S	128	35.1	E	Unk.	19	154		SD	3		
4	23	1648	-8	1944-07-28	10	51	S	128	48.9	E	2 Float Land Biplane	11	154		Lookout	2		
4	24	1644	-8	1944-08-01	9	21.8	S	127	56.6	E	Unk.	10	334		Sighted	20		
4	25	0713	-8	1944-08-02	5	50	S	126	4	E	Unk.	11	330		SD			
4	26	1129	-8	1944-08-02	4	49.4	S	125	54	E	Unk.	24	354		SD			
4	27	1445	-8	1944-08-02	3	56	S	125	40	E	Unk.	17	354		SD			
4	28	1601	-8	1944-08-02	3	57	S	125	40	E	Unk.	12	354		SD			
4	29	0543	-8	1944-08-03	1	50.5	S	126	34.3	E	Unk.		001		Bluefish			
4	30	1247	-8	1944-08-03	2	45	S	126	36.7	E	Pete	8	150		Per	2.5		
4	31	1524	-8	1944-08-03	2	3.5	S	126	33	E	Lily	6	180		Per	6		
4	32	1624	-8	1944-08-03	2	5.2	S	126	31	E	Rufe	10	228		Visual			
4	33	1528	-8	1944-08-03	2	3	S	126	31	E	Unk.	11	228		SD			
4	34	0701	-8	1944-08-04	2	3.7	S	125	34.6	E	Rufe	10	180		Per			
4	35	0917	-8	1944-08-04	1	59	S	125	32.3	E	Float Biplane	6	270		Per			
4	36	0947	-8	1944-08-04	2	0.6	S	125	29.5	E	Float Biplane	8	270		Per			
4	37	1208	-8	1944-08-04	2	3.4	S	125	27.3	E	Mavis	7	270		Per	2.5		
4	38	0540	-8	1944-08-05	2	16.2	S	123	42.6	E	Unk.	15	237		Lookout	1		
4	39	0858	-8	1944-08-05	2	39	S	123	8	E	Unk.	30	237		SD			
4	40	0915	-8	1944-08-05	2	40	S	123	7.8	E	Unk.	12	237		SD			
4	41	0858	-8	1944-08-09	4	9.8	S	124	19	E	Unk.	7	000		SD			
4	42	1500	-8	1944-08-09	4	44.5	S	124	8.7	E	Unk.	22	225		SD			
4	43	1545	-8	1944-08-09	4	50.4	S	124	5.2	E	Unk.	16	225		SD			
4	44	0942	-8	1944-08-10	5	25.3	S	121	9.9	E	Unk.	20	080		SD			
4	45	1159	-8	1944-08-10	5	14.5	S	121	12.5	E	Unk.	20	270		SD			
4	46	0554	-8	1944-08-12	5	24.9	S	121	3.9	E	Unk.	8	333		Lookout	4		
4	47	0809	-8	1944-08-12	5	21.4	S	121	2.8	E	Unk.	8	333		SD			
4	48	0720	-8	1944-08-15	2	26.8	S	126	45.4	E	Unk.	7	240		SD			
4	49	1222	-8	1944-08-15	3	23.5	S	126	45.5	E	Unk.	4	240		SD			
4	50	1414	-8	1944-08-15	2	23.5	S	125	42.5	E	Unk.	7	060		SD			
4	51	1019	-8	1944-08-16	5	38.5	S	125	11.8	E	Unk.	10	160		SD			
4	52	1145	-8	1944-08-16	5	43	S	125	12.9	E	Emily	8	180		High Per	1		
4	53	1600	-8	1944-08-19	7	27.4	S	124	45	E	Unk.	10	140		SD			
4	54	1651	-8	1944-08-20	11	52.1	S	121	39	E	Monoplane Low Wing	5	205		Visual	4		






