date,time,timezone,lat_deg,lat_min,lat_hemisphere,lon_deg,lon_min,lon_hemisphere
1944-07-08,0700,0,13,38.5,S,115,05.7,E
1944-07-08,2146,0,10,57.3,S,115,36,E
1944-07-09,0700,0,9,15,S,115,42,E
1944-07-10,0131,0,6,39.2,S,116,34.2,E
1944-07-10,2203,0,6,57,S,116,22,E
1944-07-11,0055,0,2,20,S,118,27,E
1944-07-12,2340,0,1,31,N,119,27.9,E
1944-07-13,2200,0,4,42,N,119,42,E
1944-07-14,2055,0,12,43,N,120,42,E
1944-07-15,0000,0,12,22.2,N,119,23,E
1944-07-16,2325,0,11,42,N,117,46,E
1944-07-17,1537,0,12,23.5,N,116,26.8,E
1944-07-18,2100,0,13,45,N,119,30,E
1944-07-19,2055,0,14,24.9,N,119,41,E
1944-07-21,2258,0,8,01,N,120,14.3,E
1944-07-22,2123,0,4,21,N,120,34,E
1944-07-23,2100,0,2,55,N,125,45,E
1944-07-24,2238,0,1,48,S,126,21,E
1944-07-25,2206,0,2,48,S,126,00,E
1944-07-27,0907,0,6,58,S,126,18.2,E
1944-07-27,2324,0,9,38,S,128,10.4,E
1944-08-01,2314,0,5,50,S,126,04,E
1944-08-02,1820,0,1,45,S,126,25,E
1944-08-02,2146,0,1,50.5,S,126,34.3,E
1944-08-03,2100,0,2,01,S,125,31,E
1944-08-04,2140,0,2,16.2,S,123,42.6,E
1944-08-05,0115,0,2,40,S,123,07.8,E
1944-08-05,2130,0,2,53,S,122,24,E
1944-08-06,2100,0,2,53,S,122,28,E
1944-08-08,2125,0,4,28.5,S,124,44.2,E
1944-08-09,0059,0,4,09.8,S,124,41.9,E
1944-08-09,2147,0,5,20.2,S,121,04.1,E
1944-08-10,2130,0,6,28,S,120,41,E
1944-08-11,0009,0,5,21.4,S,121,02.8,E
1944-08-11,2330,0,5,24.9,S,121,03.9,E
1944-08-12,2335,0,6,21,S,124,09,E
1944-08-13,2126,0,4,26,S,126,29.8,E
1944-08-14,2141,0,2,27.5,S,126,45,E
1944-08-14,2320,0,2,26.8,S,126,45.4,E
1944-08-15,0615,0,2,23.5,S,126,42.5,E
1944-08-15,0423,0,3,23.5,S,126,45.7,E
1944-08-16,0219,0,3,38.5,S,125,11.8,E
1944-08-17,2202,0,5,21.8,S,121,04.5,E
1944-08-18,1205,0,5,01.2,S,121,16.8,E
1944-08-20,0851,0,11,52.1,S,121,39,E








